ISO_Year,ISO_Week,Channel_Group,Campaign_Group,FF_Purchase_Event_Count,FF_Lead_Event_Count,FF_BRSubmit_Event_Count,FF_DMSubmit_Event_Count,FF_PhoneGet_Event_Count,FF_HRSubmit_Event_Count,HR_Submit_Event_New_Traveler_Lead_Count,Housing Requests,Total Traveler Actions,Traveler Value,Landlord Value,Impressions,Impression_population,Clicks,Cost,Sessions,Incomplete_Week,Lead_Conversion,CPL,CAC,Traveler_Conversion,CPTA,ROAS,CPC,CTR,RPC_Landlord,RPC_Tenant,Purchase_to_Sessions,Lead_to_Sessions,Impression_Share,FF_Purchase_Event_Count_WoW,FF_Purchase_Event_Count_YoY,FF_Lead_Event_Count_WoW,FF_Lead_Event_Count_YoY,FF_BRSubmit_Event_Count_WoW,FF_BRSubmit_Event_Count_YoY,FF_DMSubmit_Event_Count_WoW,FF_DMSubmit_Event_Count_YoY,FF_PhoneGet_Event_Count_WoW,FF_PhoneGet_Event_Count_YoY,FF_HRSubmit_Event_Count_WoW,FF_HRSubmit_Event_Count_YoY,Housing Requests_WoW,Housing Requests_YoY,Total Traveler Actions_WoW,Total Traveler Actions_YoY,Traveler Value_WoW,Traveler Value_YoY,Landlord Value_WoW,Landlord Value_YoY,Impressions_WoW,Impressions_YoY,Impression_population_WoW,Impression_population_YoY,Clicks_WoW,Clicks_YoY,Cost_WoW,Cost_YoY,Sessions_WoW,Sessions_YoY,Lead_Conversion_WoW,Lead_Conversion_YoY,CPL_WoW,CPL_YoY,CAC_WoW,CAC_YoY,Traveler_Conversion_WoW,Traveler_Conversion_YoY,CPTA_WoW,CPTA_YoY,ROAS_WoW,ROAS_YoY,CPC_WoW,CPC_YoY,CTR_WoW,CTR_YoY,RPC_Landlord_WoW,RPC_Landlord_YoY,RPC_Tenant_WoW,RPC_Tenant_YoY,Purchase_to_Sessions_WoW,Purchase_to_Sessions_YoY,Lead_to_Sessions_WoW,Lead_to_Sessions_YoY,Impression_Share_WoW,Impression_Share_YoY
2023,1,SEM Non-Brand,Bing Search - Non-Brand (All Campaigns),0,0,0,0,0,0,0,0,0,0,0,1767,6544.444444444444,274,402.64,0,True,0.0,402.64,402.64,0.0,402.64,0.0,1.4694890510948904,0.15506508205998867,0.0,0.0,0.0,0.0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,SEM Non-Brand,Google Search - Non-Brand (Other),0,0,0,0,0,0,0,0,0,0,0,34974,65980.0,10071,5847.3,0,True,0.0,5847.3,5847.3,0.0,5847.3,0.0,0.5806076854334227,0.28795676788471436,0.0,0.0,0.0,0.0,0.5300697180963928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,SEM Non-Brand,Google Search - TNH Non-Brand,0,0,0,0,0,0,0,0,0,0,0,22493,61214.40320141806,2402,8780.970981999999,0,True,0.0,8780.970981999999,8780.970981999999,0.0,8780.970981999999,0.0,3.65569149958368,0.1067887787311608,0.0,0.0,0.0,0.0,0.36744620258715416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,SEM Non-Brand Landlord Total,SEM Non-Brand Landlord Total,0,0,0,0,0,0,0,0,0,0,0,59234,133738.8476458625,12747,15030.910982,0,True,0.0,15030.910982,15030.910982,0.0,15030.910982,0.0,1.1791724313171725,0.21519735287166156,0.0,0.0,0.0,0.0,0.44290795862732657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1,Undefined/Other,Undefined/Other,0,0,0,0,0,0,0,0,0,0,0,33385,0.0,817,566.52,0,True,0.0,566.52,566.52,0.0,566.52,0.0,0.6934149326805386,0.024472068294144077,0.0,0.0,0.0,0.0,33385.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2,Bing FF SEM Total,Bing FF SEM Total,0,0,0,0,0,0,0,0,0,0,0,1336,9542.857142857141,293,408.43,0,True,0.0,408.43,408.43,0.0,408.43,0.0,1.3939590443686007,0.21931137724550898,0.0,0.0,0.0,0.0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2,Google FF SEM Total,Google FF SEM Total,0,0,0,0,0,0,0,0,0,0,0,36399,66704.0,11642,6301.27,0,True,0.0,6301.27,6301.27,0.0,6301.27,0.0,0.5412532210960317,0.3198439517569164,0.0,0.0,0.0,0.0,0.5456794195250659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2,Google TNH SEM Total,Google TNH SEM Total,0,0,0,0,0,0,0,0,0,0,0,23247,68828.69425801236,2481,9231.960239,0,True,0.0,9231.960239,9231.960239,0.0,9231.960239,0.0,3.7210641833937927,0.10672344818686282,0.0,0.0,0.0,0.0,0.33775157658600813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2,Grand Total,Grand Total,0,0,0,0,0,0,0,0,0,0,0,255022,145075.5514008695,19024,18695.670239000003,0,True,0.0,18695.670239000003,18695.670239000003,0.0,18695.670239000003,0.0,0.9827412867430615,0.07459748570711547,0.0,0.0,0.0,0.0,1.7578564929615808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2,Non-Paid Total,Non-Paid Total,0,0,0,0,0,0,0,0,0,0,0,29243,0.0,764,572.42,0,True,0.0,572.42,572.42,0.0,572.42,0.0,0.749240837696335,0.02612591047430154,0.0,0.0,0.0,0.0,29243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
